"GUID идентификатор элемента";"Название элемента";"Путь для раздела";"Адрес (youtube)";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";
"CED32390-BAFF-F5B1-5DF2-902A4BE0AD1C";"Как рассчитать упрощенный налог в 2017 году";"kak-rasschitat-uproshchennyy-nalog";"https://www.youtube.com/watch?v=DnMGIQGc70s&sa=U&ved=0ahUKEwirncyE9czXAhUG2oMKHb0UCcsQtwIIFjAA&usg=AOvVaw14xhvqtCbszIB25f4ucsX9";"Авансовый платеж по УСН «доходы» за 1 квартал 2017 года ...";"null";"11 мар 2017 ... Как правильно рассчитать авансовый платеж в 2017 году? На какие КБК ... Как рассчитать аванс по УСН за 1 квартал 2017 года. В 2017 ...";"КБК по УСН в 2017 году: таблица";"null";"19 окт 2016 ... Срок перечисления единого налога на КБК в 2017 году. Плательщики УСН ежеквартально должны рассчитывать и уплачивать ...";"УСН "Доходы" в 2017 году: пример расчета налога, страховых ...";"null";"Пример расчета налога по УСН «Доходы» на 2017 год ... Если сумма налога рассчитывается исходя от размера общего дохода за вычетом суммы ...";"УСН 6% в 2017 году для ИП: уменьшение налога - Упрощенка";"null";"9 дек 2016 ... Расчет УСН за 2017 год: срок уплаты в 2018 году, примеры, платежки, ... См. также: Когда при УСН 6% нужно считать расходы ...";
"2B9E66EB-0C6C-AB85-1D1C-9F80B6B81C28";"Как рассчитать налоги от заработной платы в 2017 году";"kak-rasschitat-nalogi-ot-zarabotnoy-platy";"ZJOLepHSxss";"Расчет зарплаты в Украине в 2017 году, зарплата 2017 в Украине";"null";""Зарплатные" налоги и другие удержания в 2017 году ... удержания - это часть, которая вычитается из заработной платы работника;; начисления на  ...";"Расчет начислений и удержаний из заработной платы в 2017 ...";"null";"1 янв 2017 ... Налоги > Бухгалтерский учет > Расчет начислений и удержаний из заработной платы .... Начисления на заработную плату в 2017 году.";"Расчет налогов на зарплату в 2017 году - Бухучет";"null";"За oтработанное время ему начислено 1800грн. заработной платы. Подробнее пример 8 >>>. Пример 9. Работник с 1 января пo 14 января 2017 гoда ...";"Заработная плата в Украине 2017,расчет зарплаты,начисление ...";"null";"Расчет и начисление заработной платы в Украине. Расчет начислений и отчислений ... Удержание ЕСВ из зарплаты сотрудника отменено с 2016 года. Размер налога на доходы физических лиц (НДФЛ) изменился и составляет ...";
"3DA332F2-4C2F-3408-85DB-D652F5D635D2";"Как провести сверку налогов";"kak-provesti-sverku-nalogov";"https://www.youtube.com/watch?v=O5oofz-0on4&sa=U&ved=0ahUKEwiHuJC29czXAhWE44MKHddNCpoQtwIIFjAA&usg=AOvVaw1-gfwYHrw2s4SsUh0wvX1d";"Форуми газети "Все про бухгалтерський облiк" • Акт сверки с налоговой";"null";"27 мар 2015 ... Re: Акт сверки с налоговой. Сообщение ... просить провести звірку нарахування і сплати податків станом на ..........2015 року, а саме:";"Акт сверки с налоговой инспекцией: бланк и образец 2017 года";"null";"20 янв 2017 ... Утверждена ли новая форма акта сверки с налоговой инспекцией на 2017 год? Будет ли применяться новая форма акта при сверке по ...";"Как сверится с налоговой по всем налогам - Дебет-Кредит";"null";"пишите на имя ная вашей налоговой. просим провести сверку по такому-то налогу и выдать акт сверки. на каждый налог новое письмо. в Печерской ...";"Акт сверки с налоговой: образец заявления - Главная книга";"null";"14 апр 2017 ... Как получить акт сверки с налоговой: заявление на сверку и запрос. ... Как провести сверку с налоговой инспекцией. В первую очередь ...";
"8EE11981-9A1D-1ED0-2B07-7A1DE41184FE";"Как рассчитывать налог с продажи автомобиля";"kak-rasschityvat-nalog-s-prodazhi-avtomobilya";"https://www.youtube.com/watch?v=Pd0-mOeg5hY&sa=U&ved=0ahUKEwjQ9ILO9czXAhUm34MKHZWSDlAQtwIIFjAA&usg=AOvVaw3SKZj0F6TUjhADvy1JAT6c";"Онлайн калькулятор: Налог при продаже автомобиля";"null";"Калькулятор вычисляет налог с продажи автомобиля в зависимости от суммы продажи и количества лет нахождения ... Рассчитать PLANETCALC.";"Налог с продажи автомобиля | Ваши налоги -";"null";"Налог с продажи автомобиля: как определить доход, уменьшить его при расчете налога, рассчитать сумму налога, примеры расчета >>>";"Налог с продаж в Украине, недвижимости, квартиры, автомобиля";"null";"Как и при продаже объектов недвижимости, налог при продаже авто рассчитывается и уплачивается заблаговременно, а нотариусу в момент ...";"Налог с продажи автомобиля в 2017 и 2018 году. В каком случае ...";"null";"5 сен 2011 ... Размер налога на продажу автомобиля зависит от нескольких факторов, ... Владелец автомобиля может рассчитывать на получение ...";
"F191F6C3-0814-40D3-340E-D06A847F15D2";"Как рассчитать имущественные налоговые вычеты в 2017 году";"kak-rasschitat-imushchestvennye-nalogovye-vychety";"https://www.youtube.com/watch?v=cTUf_iuCj9Y&sa=U&ved=0ahUKEwil98_g9czXAhVFzIMKHQmrAyQQtwIIFjAA&usg=AOvVaw235dcLar2hr1Ct3VMtdkuj";"Имущественный налоговый вычет в 2017 году";"null";"1 июн 2017 ... Имущественный налоговый вычет: изменения в 2017 году .... Налоговики разрешили с выгодой посчитать вычеты по НДФЛ · Пять спорных ..... пришли к выводу, что компания вправе сама определить очередность.";"Налоговый вычет в 2017 году | Всё про НДФЛ";"null";"12 янв 2017 ... Налоговые вычеты в 2017 году: все изменения и обновления, новая форма ... Изменения в имущественном налоговом вычете в 2017 году ... ниже ее кадастровой стоимости, налог рассчитывается по формуле: ...";"Имущественный вычет в 2017 году: особенности оформления";"null";"Имущественный вычет в 2017 году можно оформить в течение всего года, но только по ... Имущественный вычет рассчитывается как 13% от:.";"Имущественные вычеты в 2017 году: изменения и особенности";"null";"Имущественные налоговые вычеты в 2016, а также в 2017 году - на ремонт и строительство, проценты по ипотеке - какие правки в законодательстве?";
"4644BD7F-A66D-AAFE-9FB7-C4B086BA4650";"Как рассчитать пени от ставки рефинансирования";"kak-rasschitat-peni-ot-stavki-refinansirovaniya";"https://www.youtube.com/watch?v=EwGTAQqqoHM&sa=U&ved=0ahUKEwiY5dCR9szXAhUs54MKHXl7AP8QtwIIFjAA&usg=AOvVaw0hG1hUIC5xCDtDGHVgbzdG";"Калькулятор пеней, калькулятор неустойки - CalcSoft.ru";"null";"";"Расчет пени по ставке рефинансирования: формула и порядок ...";"null";"Пени - процент, выплачиваемый за не вовремя возвращенный долг. Расчет пени происходит по ставке рефинансирования и с учетом периода ...";"Как рассчитать пеню по ставке рефинансирования правильно ...";"null";"Понятие пени. Что же такое ставка рефинансирования и где она применяется. Формула расчета пени по ставке рефинансирования. Где можно узнать ...";"Калькулятор расчёта пени по 1/300, 1/150 или 1/130 ставки ...";"null";"Калькулятор работает по правилам расчёта неустойки или пени по договору ... "Ставка ЦБ" - Ключевая ставка (Ставка рефинансирования) ЦБ .... Если вам нужно рассчитать строго по ставке ЦБ, то вот подходящий калькулятор ...";
"95312F5D-E71C-63F8-B730-0854C3A46E42";"Как заполнить налоговую декларацию на прибыль в 2017 году";"kak-zapolnit-nalogovuyu-deklaraciyu-na-pribyl";"XW_VXxBAMEI";"Декларация по налогу на прибыль (2017): заполнение, бланк ...";"null";"Декларация налога на прибыль: заполнение, сроки сдачи, бланки налоговой декларации и всех приложений (можете ... ·01· 30.01.2017 Видeо Финансовая отчетность и дeкларация по налогу нa прибыль - 2016. ... B 2016 году:.";"Декларация по налогу на прибыль: строка за строкой";"null";"30 янв 2017 ... С 2015 года плательщики налога на прибыль определяют базу ... налоговой декларации по налогу на прибыль: изменения-2017 в НКУ» газеты № 5/2017. ... Утвержденных правил заполнения декларации нет.";"Декларация по налогу на прибыль за полугодие 2017 года - Uteka";"null";"17 июл 2017 ... Декларация по налогу на прибыль за полугодие 2017 года ... полугодие 2017 года, а также расскажем об особенностях ее заполнения ... орган также ждет декларацию от плательщиков единого налога, которые за ...";"Декларация на прибыль 2017 г.: пошаговое заполнение";"null";"4 окт 2017 ... Как заполнить налоговую декларацию по налогу на прибыль за 2017 год.";
"E63655FC-F4CE-89FA-7994-F72D57CA91EC";"Как рассчитать проценты по ставке рефинансирования в 2017 году";"kak-rasschitat-procenty-po-stavke-refinansirovaniya";"http://vestiprava.com/stati/kak-schitat-protsentyi-po-395-gk-po-novyim-pravilam.html&sa=U&ved=0ahUKEwja8eTK9szXAhVD_IMKHa8pCHkQFggVMAA&usg=AOvVaw2yI7GEc-d1uv451y2GLZLJ";"Учетная ставка НБУ в 2017 году: двойная, процентная ... - Maanimo";"null";"25 май 2017 ... Учетная ставка НБУ в 2017 году: применение и пример расчета двойной ... Учетная ставка (ставка рефинансирования НБУ, дисконтная ...";"Калькулятор процентов по ст.395 ГК РФ (новые правила)";"null";"Актуален в 2016 и 2017 годах: учтены последние процентные ставки. ... Калькулятор позволяет рассчитать проценты (пени, неустойку) в рублях, .... уплате годовых процентов по ставке рефинансирования Центрального банка ...";"Калькулятор расчёта процентов задолженности по ст. 395 ГК РФ ...";"null";"С 30 октября 2017 года ключевая ставка составляет 8,25% ... Почему считать в календарных днях, а не 360 и 30? ... и согласно которой расчёт ведётся по ставке рефинансирования (а с 1 января 2016 года по ключевой ставке) ЦБ ...";"Ставка рефинансирования 2017 - Главбух";"null";"Размеры ставки рефинансирования ЦБ РФ на 2017 год и более ранние ... Быстро и просто рассчитать некоторые из этих показателей с учетом ставки  ...";
"F96DC886-264E-A5FB-4C64-6BA43C55EF48";"Как рассчитать налог с продажи квартиры";"kak-rasschitat-nalog-s-prodazhi-kvartiry";"https://www.youtube.com/watch?v=4kfmJ0FFT8M&sa=U&ved=0ahUKEwis14zX9szXAhXhxYMKHRzMCO0QtwIIFjAA&usg=AOvVaw3_Md2-ky8x-YF_nEB_D37N";"Налог с продажи квартиры | Ваши налоги -";"null";"";"Онлайн калькулятор: Налог с продажи квартиры";"null";"Рассчитать PLANETCALC ... Темы: НДФЛ Налоги Недвижимость доход от продажи квартиры налог налог с продажи квартиры налоговый вычет продажа ...";"Налог с продажи квартиры | Ваши налоги -";"null";"Сумму налога от продажи квартиры рассчитывают по очень простой формуле: ...";"Налог с продажи квартиры в 2017 и 2018 году | Ваши налоги -";"null";"Как платить налог с продажи квартиры, которая находится более 3 (трех), ... В этом случае каждый продавец вправе рассчитывать на вычет в полной ...";
"F6F65D57-2802-D06F-4070-76015A3DA156";"Как рассчитать подоходный налог за год в 2017 году";"kak-rasschitat-podohodnyy-nalog-za-god";"https://www.juridicheskij-supermarket.ua/page_income-tax.html&sa=U&ved=0ahUKEwj3uabu9szXAhVF94MKHRc6DLsQFggVMAA&usg=AOvVaw3gYR4t9_6lCGmKOq_k8N5n";"Расчет зарплаты в Украине в 2017 году, зарплата 2017 в Украине";"null";"рассчитать доход, начисленный работнику за отработанное время (как правило месяц); ... "Зарплатные" налоги и другие удержания в 2017 году ... установленной Законом Украины "О Госбюджете на 2017 год" с 1 января 2017 года.";"Расчет начислений и удержаний из заработной платы в 2017 ...";"null";"Налоги > Бухгалтерский учет > Расчет начислений и удержаний из ... С 1 января 2017 года вступил в силу Закон Украины «О ... заработной платы в 2017 году, и акцентируем внимание на .... Если вы не писали заявление на налоговую социальную льготу, то 18% подоходного налога и 1,5% военного сбора.";"Налог на доходы физических лиц 2017,подоходный налог в ...";"null";"Что такое и какой подоходный налог в Украине? Ставка налога на доходы физических лиц. Размер, начисление и расчет подоходного налога. ... Значительных изменений в 2017 году подоходный налог не претерпел. ... Законом «О Государственном бюджете Украины на 2017 год» установлен размер ...";"Заработная плата в Украине 2017,расчет зарплаты,начисление ...";"null";"Удержание ЕСВ из зарплаты сотрудника отменено с 2016 года. Размер налога на доходы физических лиц (НДФЛ) изменился и составляет ... был введен военный сбор, а Госбюджетом на 2016 год действие сбора продлено на ...";
"FDBD3A5D-FF64-3BEA-5088-93DDE95A9C4F";"Как сделать нулевую отчетность";"kak-sdelat-nulevuyu-otchetnost";"https://www.youtube.com/watch?v=ZnWeJwt_JXg&sa=U&ved=0ahUKEwilqrCJ98zXAhUq0oMKHVTtBu8QtwIIFjAA&usg=AOvVaw1Xd_IBurcUfNd0FkAWApYI";"Сдача нулевой отчетности в Украине. Подача нулевой ...";"null";"Нулевая отчетность - обязательный вид налогового учета предприятия. ... достижения наивысшего результата каждый должен делать только то, что он ...";"Нулевая отчетность ИП - как сдать в 2017 | Инструкция";"null";"Как сдать нулевую отчетность в 2017 году? Пошаговая инструкция и нюансы сдачи нулевой налоговой декларации ИП (с работниками и без них).";"Нулевая отчетность ИП и ООО | Cдача нулевой отчетности ...";"null";"Нулевая отчетность ИП и нулевая отчетность ООО может быть сдана по ... мне более ничего делать не надо, так то подавать отчётность в налоговую, ...";"Как сделать «нулевую» отчетность: шпаргалка для ИП и ООО";"null";"26 янв 2017 ... Из этой статьи вы узнаете, как сдать нулевую отчетность, в каких случаях заполняется «нулевая» декларация, какие штрафы ...";
"B9517B6D-1375-2D4D-9365-498BED53E283";"Как считать упрощенку в 2017 году";"kak-schitat-uproshchenku";"https://www.youtube.com/watch?v=HM3OQfhzkRc&sa=U&ved=0ahUKEwjWlraj98zXAhUo2IMKHWnBBHUQtwIIFjAA&usg=AOvVaw3OSy-QPX17s5MgO6ZpjVYJ";"УСН "Доходы" в 2017 году: пример расчета налога, страховых ...";"null";"Доходы и затраты необходимо считать по нарастающей от начала года. В тех случаях, когда по УСН «Доход минус расход» начисленный налог ...";"УСН 2017: всё о плюсах и минусах упрощёнки с примерами";"null";"Подробнее: Фиксированный платеж в Пенсионный фонд в 2017 году для ИП ... по уплате налога считается выполненной только после предъявления в ...";"УСН 6% в 2017 году для ИП: уменьшение налога - Упрощенка";"null";"9 дек 2016 ... Расчет УСН за 2017 год: срок уплаты в 2018 году, примеры, платежки, ... См. также: Когда при УСН 6% нужно считать расходы ...";"Порядок расчета налога по УСН «доходы» в 2016-2017 (6 ...";"null";"21 мар 2017 ... Перед тем как рассчитать налог УСН «доходы», бухгалтеру следует ... Правила расчета УСН-налога в 2017 году по сравнению с 2016 ...";
"B27ACF05-1795-339C-2FE4-C31FDF508D86";"Как рассчитать енвд для розничной торговли в 2017 году";"kak-rasschitat-envd-dlya-roznichnoy-torgovli";"https://www.youtube.com/watch?v=2WC2CDsl4BQ&sa=U&ved=0ahUKEwi_iazC98zXAhVJ64MKHY5-CqkQtwIIFjAA&usg=AOvVaw3u3rk9DbmxL5TIHr3GzCIV";"Примеры расчета ЕНВД в 2017-2018 годах: розничная торговля ...";"null";"Как правильно рассчитать суммы ЕНВД самостоятельно? Сейчас научим и приведем примеры расчета ЕНВД в 2017-2018 годах.";"Повышение ЕНВД с 2017 года: расчет с новым К1 - TBIS.RU";"null";"Формула расчета ЕНВД в 2017 году остается прежней: ЕНВД за квартал = Налоговая база ... Ставка налога ЕНВД для розничной торговли — 15%.";"Повышение ЕНВД с 2017 года: примеры расчетов";"null";"29 сен 2016 ... В связи с повышение коэффициента дефлятора К1 с 2017 года до 1891 сумма ... Как такое повышение повлияет на расчет ЕНВД? ... установили в размере 0,7. базовая доходность для розничной торговли при ...";"Калькулятор расчета ЕНВД онлайн. Рассчитать налог в 2016 ...";"null";"Удобный сервис для расчета налога ЕНВД онлайн в 2016 и 2017 годах. Калькулятор позволяет бесплатно рассчитать налог для ИП и ООО с ...";
"B404D7D4-0B85-99C9-0949-BAFC9548BE21";"Как рассчитать ставку налога в 2017 году";"kak-rasschitat-stavku-naloga";"FxEZBmU2AV4";"Налог на прибыль в 2017 году в Украине. Ставка налога: как ...";"null";"Ставка которого составляет ... в 2017 году составит 2000*0,18 ...";"Транспортный налог (2017) в Украине | УкрСтрахование";"null";"Расчет транспортного налога не является сложной процедурой, ... В 2017 году, как и в минувшем году, эта величина составляла 20 тыс. грн. Другое дело, что определить объект налогообложения ...";"Расчет зарплаты в Украине в 2017 году, зарплата 2017 в Украине";"null";""Зарплатные" налоги и другие удержания в 2017 году ... Действующие ставки этих налогов составляют 18 % для НДФЛ и 1,5% для военного сбора.";"Налог на прибыль предприятий в 2017 году в Украине - Maanimo";"null";"136.1 НКУ размер базовой ставки составляет ... который рассчитывается как сумма ...";
"D3F1F738-BDA8-42B9-B736-ED1F13AA53CE";"Как рассчитать налог на недвижимость";"kak-rasschitat-nalog-na-nedvizhimost";"https://www.youtube.com/watch?v=UUsmvY0r71Y&sa=U&ved=0ahUKEwjOwKn198zXAhUCyoMKHRchAEEQtwIIFjAA&usg=AOvVaw0TjOJnMiGDilspV8DYhS2X";"Как рассчитать налог на недвижимость? - Терен Плюс";"null";"";"Налог на недвижимость в Украине 2017,налог на дом и квартиру ...";"null";"Налог на недвижимость в Украине относится к числу местных налогов в Украине. Из его полного названия – налог на недвижимое имущество, отличное ...";"Налог на недвижимость: как рассчитать и сколько будут стоить ...";"null";"3 июл 2016 ... Как сообщается в сюжете ТСН.Тиждень, в одних городах налог на недвижимость до сих пор не платили, а в других будут платить ...";"Как рассчитать налог на недвижимость? - Терен Плюс";"null";"Пояснение к налогу на недвижимость. В июле этого года Верховная Рада Украины перенесла дату начала действия Налога на недвижимое имущество ...";
"E61E29E4-710C-9E26-C38A-A1BD7388DAB9";"Как сделать отчет о прибылях и убытках";"kak-sdelat-otchet-o-pribylyah-i-ubytkah";"https://www.youtube.com/watch?v=UrLKKwe6qS4&sa=U&ved=0ahUKEwjXqvaO-MzXAhUh34MKHTAgCz0QtwIIFjAA&usg=AOvVaw1FXrsquAynqpjqr9EkIoWD";"Как составить отчет о прибылях и убытках - Об учете с любовью";"null";"Итог работы предприятия за отчетный период. Сумма чистой прибыли по отчету о прибылях и убытках должна равняться строке 1.4Пассива баланса ...";"Отчет о прибылях и убытках";"null";"Информация, представленная в отчете о прибылях и убытках, позволяет всем заинтересованным пользователям сделать вывод о том, насколько ...";"Отчет о прибылях и убытках — Audit-it.ru";"null";"5 май 2012 ... Наряду с Бухгалтерским балансом, Отчет о прибылях и убытках является... ... Что делать в этом случае? Может ли быть такое ...";"Как заполнить отчет о прибылях и убытках :: Начинающий ...";"null";"4 июн 2009 ... Все данные в Отчете о прибылях и убытках указываются ..... Это следует сделать после показателя текущего налога на прибыль.";
"C22733E4-3788-B738-F8C7-3F3B8EC6CDD4";"Как рассчитать единый вмененный налог";"kak-rasschitat-edinyy-vmenennyy-nalog";"P9VOLW_pd64";"Единый налог на вмененный доход — Народная бухгалтерская ...";"null";"";"Единый налог на вменённый доход для отдельных видов ...";"null";"Единый налог на вменённый доход для отдельных видов деятельности ( ЕНВД) ..... Как рассчитать величину налоговой базы при изменении величины ...";"Единый налог на вменённый доход — Википедия";"null";"Единый налог на временный доход (ЕНВД) — налог, вводится в действие законами ... ЕНВД, всё, что выше можно считать платежами вне налога или 100% ЕНВД, если у предпринимателя отсутствуют наёмные работники).";"Единый налог на вмененный доход — Народная бухгалтерская ...";"null";"Теперь заглядываем в местный нормативно-правовой акт о ЕНВД — если местные законодатели решили ...";
"64D52E71-6EDA-2F16-B5BE-ADEE1A562681";"Как заполнить декларацию 3-НДФЛ на лечение";"kak-zapolnit-deklaraciyu-3-ndfl-na-lechenie";"https://www.youtube.com/watch?v=882-mlws6ek&sa=U&ved=0ahUKEwjbpMu1-MzXAhVm1oMKHVwyDwwQtwIIFjAA&usg=AOvVaw2px_gCDdys1Eh_vuUf27kC";"Образец заполнения декларации 3-НДФЛ за лечение - NDFLka";"null";"";"Заполнение декларации 3 НДФЛ - YouTube";"null";"22 лют. 2015 - 12 хв - Автор відео Финансы и налоги для бизнеса Пошаговое заполнение декларации 3 ндфл в специальной программе на примере социальных вычетов на лечение Заполнить ...";"Декларация 3-НДФЛ. Налоговый вычет на лечение - YouTube";"null";"19 квіт. 2016 - 5 хв - Автор відео 3-НДФЛКА - Заполнение налоговых деклараций (3-НДФЛ, УСН, ЕНВД) Скачать программу Декларация: http://www.gnivc.ru/software/software_fl/ ndfl_3_4/ Узнать ОКТМО: https://www ...";"Пример заполнения декларации по форме 3 НДФЛ на лечение ...";"null";"29 жов. 2016 - 4 хв - Автор відео Верни налог "Верни налог" оказывает услуги по заполнению декларации по форме 3- НДФЛ на вычеты (лечение, обучение, с покупки комнаты, ...";
"7D4E794B-4980-100B-6768-DF56E6B0577F";"Как узнать сумму транспортного налога";"kak-uznat-summu-transportnogo-naloga";"aHqZAze68Vg";"Как узнать задолженность по транспортному налогу — как ...";"null";"14 дек 2016 ... Как узнать свой налог на транспортное средство. Основной и самый популярный способ узнать сумму своего транспортного налога, ...";"Как узнать транспортный налог: 5 проверенных способов";"null";"Как и где узнать сумму ... сумму налога на транспортное ...";"Как узнать транспортный налог по номеру автомобиля в 2017 ...";"null";"Особенности транспортного налога Транспортный налог — обязательная пошлина для всех физических и юридических лиц. Сумму рассчитывают в ...";"Как узнать транспортный налог по ИНН физического лица в ...";"null";"Как узнать задолженность по транспортному налогу по ИНН? ... Чтобы узнать сумму транспортного налога через портал Федеральной Службы ...";
"2002704A-160E-50FC-0EBC-1FF2CB5D8858";"Как рассчитать 1/300 рефинансирования";"kak-rasschitat-1300-refinansirovaniya";"https://www.youtube.com/watch?v=xAmgUaBBM3w&sa=U&ved=0ahUKEwjIxMXV-MzXAhUH6YMKHV38AIQQtwIIFjAA&usg=AOvVaw23DM1_Kw2FTtW_qXtdrNDy";"Калькулятор расчёта пени по 1/300, 1/150 или 1/130 ставки ...";"null";""Ставка ЦБ" - Ключевая ставка (Ставка рефинансирования) ЦБ .... Мне нужно рассчитать 1/300 от ставки за период с 01.08.2016 по 01.09.2016, но по ...";"Как рассчитать 1/300 рефинансирования формула расчета ...";"null";"Ставка рефинансирования на сегодняшний день.";"Размер пени в 1/300 ставки рефинансирования | Ключевая и ...";"null";"При банковских расчетах пеня за однодневную просрочку платежа по налогам и сборам, а также при несвоевременной выплате заработной платы  ...";"Расчет ставки рефинансирования: формула и примеры ...";"null";"В России расчёт ставки рефинансирования ведётся Центральным банком, ... в размере 1/300 от ставки рефинансирования за каждый день просрочки, ...";
"72DFED65-2D58-6BD1-DAAE-36B351127C4C";"Как заплатить налог  на имущество в 2017 году";"kak-zaplatit-nalog-na-imushchestvo";"https://www.youtube.com/watch?v=XNDqmjOEKx8&sa=U&ved=0ahUKEwiZ1sDz-MzXAhWI5IMKHU_CDgkQtwIIFDAA&usg=AOvVaw0Hon4CKgFfevMsq7usH8zj";"Налоги на недвижимость в 2017 году: кому и сколько платить - ТСН";"null";"";"Налоги на недвижимость в 2017 году: кому и сколько платить - ТСН";"null";"18 апр 2017 ... В 2017 году платежки пришлют до 1 июля. Они будут за прошлый год, поэтому налог начислят с учетом минимальной зарплаты в ...";"Уплата налога на недвижимость в 2017 году: кому платить и кого ...";"null";"30 июн 2017 ... С 1 июля по 29 августа 2017 года украинцам необходимо уплатить налог на недвижимость. Портал Domik.ua разобрался, кому ...";"Налог на недвижимость 2017 в Украине: кто сколько заплатит";"null";"Налог на недвижимость в Украине до конца августа 2017 года должны заплатить украинцы, в собственности которых находится недвижимость, ...";
"7E5DD0D5-F1AE-B180-9B28-A05A6ECE8694";"Как рассчитать енвд в 2010 году";"kak-rasschitat-envd-v-2010-godu";"zfkcRJJCdEw";"Как рассчитать енвд в 2010 году Налоги - KakProsto.ru";"null";"Единый налог на вмененный доход (ЕНВД) рассчитывается как произведение пяти ... Величина коэффициента-дефлятора на 2010 год приказом ...";"Как рассчитать ЕНВД?. Регистрация ИП, ООО. Обучение бизнесу";"null";"ЕНВД ставки и %, К2. ... Как рассчитать ЕНВД? Воспользуйтесь нашим ... К1- коэффициент-дефлятор на 2010 год установлен в размере 1.295.";"ФОРМУЛА РАСЧЕТ ЕНВД, базовая доходность, таблица К2 - ASSESSOR.ru";"null";"24 июн 2015 ... Дана формула для расчета ЕНВД, коэффициенты К1, К2, базовая ... Пример: Бухгалтер рассчитал ЕНВД за I квартал 2010 года.";"Единый налог на вмененный доход — Народная бухгалтерская ...";"null";"ЕНВД, «вмененка») — система налогообложения отдельных видов .... Так, ЕНВД рассчитывается ежеквартально, а ЕСН (с 2010 года ЕСН заменен ...";
"4F46E380-868C-7AD7-7D8D-C307219AB0FF";"Как заполнять декларацию по налогу на доходы физических лиц";"kak-zapolnyat-deklaraciyu-po-nalogu-na-dohody-fizicheskih-lic";"https://www.youtube.com/watch?v=I0E7Kt8WMx8&sa=U&ved=0ahUKEwi93Laf-czXAhWLyoMKHVnIAQEQtwIIFjAA&usg=AOvVaw2r3fdW4vmOqdL64iUwTU3z";"Примеры заполнения налоговых деклараций по форме 3-НДФЛ ...";"null";"Образец заполнения налоговой декларации по налогу на доходы физических лиц с заявленным социальным налоговым вычетом по расходам на ...";"Заполнение Налоговой декларации по налогу на доходы ...";"null";"Декларация по налогу на доходы физических лиц (по тексту — Декларация) подается в налоговый орган на бланке установленной формы, ...";"Примеры заполнения декларации. Вісник. Офіційно про податки";"null";"30 янв 2017 ... Сумма таких доходов (66 000,0 грн) отражается в колонке 3 строки 10.1 раздела II декларации, сумма НДФЛ (11 880,0 грн) – в колонке 4 ...";"Образец заполнения декларации о доходах - Бухучет";"null";"Образец заполнения декларации о доходах. Tемы: Декларация о доходах, НДФЛ. Образец заполнения декларации о доходах зa 2016 год в различных  ...";
"BAA343D2-FCD0-5646-3448-70C27E6193F4";"Как исчислить налог на прибыль в 2017 году";"kak-ischislit-nalog-na-pribyl";"Xq76Ury45bU";"Налог на прибыль в 2017 году в Украине. Ставка налога: как ...";"null";"Что такое налог на прибыль организаций и предприятий и как он рассчитывается в 2017 году? Детальная информация о проверке, примеры расчета в ...";"Налог на прибыль в Украине 2017,как рассчитать,ставка,порядок ...";"null";"С 1 января 2017 года в Украине вступили изменения в Налоговый кодекс Украины. Изменения коснулись в том числе и такого базового налога, как ...";"Налог на прибыль 2017: ставка, база, декларация. Доходы и ...";"null";"Налог на прибыль в 2017 году платят все организации на общей системе налогообложения. Здесь подробный порядок расчета налога, исчисления ...";"Ставка налога на прибыль в 2017 году";"null";"13 янв 2017 ... Ставка налога на прибыль в 2017 году, так же как и в 2016, составляет 20%. Ее используют чаще всего, так как прибыль от основных ...";
"D8C670AE-BDFB-9F4D-866D-B889B2EEE9DC";"Как заполнять платежное поручение в налоговую";"kak-zapolnyat-platezhnoe-poruchenie-v-nalogovuyu";"pAB4bOQMfTU";"Зображення для запиту Как заполнять платежное поручение в налоговую";"null";"Заполнение платежного документа на перечисление налогов, сборов и иных платежей в ... Платежное поручение может быть использовано только для ...";"Заполнение платежного документа на перечисление налогов ...";"null";"Как заполнять платежное поручение на уплату налогов по зарплате. Редакция ... предоставлена и платежка на перечисление данного налога в бюджет.";"Как заполнять платежное поручение на уплату налогов по ...";"null";"16 май 2017 ... Особенности заполнения платежного поручения по требованию из ИФНС в ... Уплата штрафа по решению налогового органа в 2017 году.";"Заполнение платежного поручения по требованию ИФНС в 2017 ...";"null";"21 апр 2017 ... Как заполнить платежное поручение в ФНС. ... Лучше всего справиться с перечислением в бюджет налога с зарплатных доходов ...";
